Lower layer Super Output Areas Code,Lower layer Super Output Areas,Economic activity status (20 categories) Code,Economic activity status (20 categories),Observation
E01000295,Barnet 023B,8,Economically active and a full-time student: In employment: Employee: Part-time,11
E01000295,Barnet 023B,9,Economically active and a full-time student: In employment: Employee: Full-time,5
E01000295,Barnet 023B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000295,Barnet 023B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000295,Barnet 023B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000295,Barnet 023B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000295,Barnet 023B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2
E01000295,Barnet 023B,15,Economically inactive: Retired,198
E01000295,Barnet 023B,16,Economically inactive: Student,66
E01000295,Barnet 023B,17,Economically inactive: Looking after home or family,68
E01000295,Barnet 023B,18,Economically inactive: Long-term sick or disabled,38
E01000295,Barnet 023B,19,Economically inactive: Other,48
E01000296,Barnet 023C,-8,Does not apply,320
E01000296,Barnet 023C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,147
E01000296,Barnet 023C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,614
E01000296,Barnet 023C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01000296,Barnet 023C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,16
E01000296,Barnet 023C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,81
E01000296,Barnet 023C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,118
E01000296,Barnet 023C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,70
E01000296,Barnet 023C,8,Economically active and a full-time student: In employment: Employee: Part-time,13
E01000296,Barnet 023C,9,Economically active and a full-time student: In employment: Employee: Full-time,6
E01000296,Barnet 023C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01000296,Barnet 023C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000296,Barnet 023C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
E01000296,Barnet 023C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000296,Barnet 023C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,12
E01000296,Barnet 023C,15,Economically inactive: Retired,166
E01000296,Barnet 023C,16,Economically inactive: Student,72
E01000296,Barnet 023C,17,Economically inactive: Looking after home or family,66
E01000296,Barnet 023C,18,Economically inactive: Long-term sick or disabled,30
E01000296,Barnet 023C,19,Economically inactive: Other,44
E01000297,Barnet 027D,-8,Does not apply,259
E01000297,Barnet 027D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,122
E01000297,Barnet 027D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,440
E01000297,Barnet 027D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,4
E01000297,Barnet 027D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,15
E01000297,Barnet 027D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,73
E01000297,Barnet 027D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,79
E01000297,Barnet 027D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,42
E01000297,Barnet 027D,8,Economically active and a full-time student: In employment: Employee: Part-time,13
E01000297,Barnet 027D,9,Economically active and a full-time student: In employment: Employee: Full-time,3
E01000297,Barnet 027D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000297,Barnet 027D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000297,Barnet 027D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01000297,Barnet 027D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E01000297,Barnet 027D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,6
E01000297,Barnet 027D,15,Economically inactive: Retired,158
E01000297,Barnet 027D,16,Economically inactive: Student,62
E01000297,Barnet 027D,17,Economically inactive: Looking after home or family,61
E01000297,Barnet 027D,18,Economically inactive: Long-term sick or disabled,35
E01000297,Barnet 027D,19,Economically inactive: Other,46
E01000298,Barnet 023D,-8,Does not apply,309
E01000298,Barnet 023D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,158
E01000298,Barnet 023D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,518
E01000298,Barnet 023D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01000298,Barnet 023D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,19
E01000298,Barnet 023D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,77
E01000298,Barnet 023D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,121
E01000298,Barnet 023D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,48
E01000298,Barnet 023D,8,Economically active and a full-time student: In employment: Employee: Part-time,12
E01000298,Barnet 023D,9,Economically active and a full-time student: In employment: Employee: Full-time,11
E01000298,Barnet 023D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,4
E01000298,Barnet 023D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000298,Barnet 023D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
E01000298,Barnet 023D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E01000298,Barnet 023D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,12
E01000298,Barnet 023D,15,Economically inactive: Retired,184
E01000298,Barnet 023D,16,Economically inactive: Student,76
E01000298,Barnet 023D,17,Economically inactive: Looking after home or family,68
E01000298,Barnet 023D,18,Economically inactive: Long-term sick or disabled,27
E01000298,Barnet 023D,19,Economically inactive: Other,55
E01000299,Barnet 019A,-8,Does not apply,430
E01000299,Barnet 019A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,180
E01000299,Barnet 019A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,515
E01000299,Barnet 019A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,8
E01000299,Barnet 019A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,31
E01000299,Barnet 019A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,109
E01000299,Barnet 019A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,148
E01000299,Barnet 019A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,81
E01000299,Barnet 019A,8,Economically active and a full-time student: In employment: Employee: Part-time,18
E01000299,Barnet 019A,9,Economically active and a full-time student: In employment: Employee: Full-time,9
E01000299,Barnet 019A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000299,Barnet 019A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000299,Barnet 019A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,6
E01000299,Barnet 019A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000299,Barnet 019A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,37
E01000299,Barnet 019A,15,Economically inactive: Retired,243
E01000299,Barnet 019A,16,Economically inactive: Student,107
E01000299,Barnet 019A,17,Economically inactive: Looking after home or family,155
E01000299,Barnet 019A,18,Economically inactive: Long-term sick or disabled,72
E01000299,Barnet 019A,19,Economically inactive: Other,70
E01000300,Barnet 019B,-8,Does not apply,343
E01000300,Barnet 019B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,136
E01000300,Barnet 019B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,530
E01000300,Barnet 019B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,5
E01000300,Barnet 019B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,22
E01000300,Barnet 019B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,82
E01000300,Barnet 019B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,76
E01000300,Barnet 019B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,62
E01000300,Barnet 019B,8,Economically active and a full-time student: In employment: Employee: Part-time,12
E01000300,Barnet 019B,9,Economically active and a full-time student: In employment: Employee: Full-time,5
E01000300,Barnet 019B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000300,Barnet 019B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000300,Barnet 019B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000300,Barnet 019B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000300,Barnet 019B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3
E01000300,Barnet 019B,15,Economically inactive: Retired,208
E01000300,Barnet 019B,16,Economically inactive: Student,55
E01000300,Barnet 019B,17,Economically inactive: Looking after home or family,57
E01000300,Barnet 019B,18,Economically inactive: Long-term sick or disabled,26
E01000300,Barnet 019B,19,Economically inactive: Other,40
E01000301,Barnet 020C,-8,Does not apply,331
E01000301,Barnet 020C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,95
E01000301,Barnet 020C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,419
E01000301,Barnet 020C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,15
E01000301,Barnet 020C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,19
E01000301,Barnet 020C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,57
E01000301,Barnet 020C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,76
E01000301,Barnet 020C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,29
E01000301,Barnet 020C,8,Economically active and a full-time student: In employment: Employee: Part-time,2
E01000301,Barnet 020C,9,Economically active and a full-time student: In employment: Employee: Full-time,2
E01000301,Barnet 020C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01000301,Barnet 020C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000301,Barnet 020C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000301,Barnet 020C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000301,Barnet 020C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E01000301,Barnet 020C,15,Economically inactive: Retired,232
E01000301,Barnet 020C,16,Economically inactive: Student,75
E01000301,Barnet 020C,17,Economically inactive: Looking after home or family,84
E01000301,Barnet 020C,18,Economically inactive: Long-term sick or disabled,27
E01000301,Barnet 020C,19,Economically inactive: Other,31
E01000302,Barnet 019C,-8,Does not apply,322
E01000302,Barnet 019C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,137
E01000302,Barnet 019C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,463
E01000302,Barnet 019C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,12
E01000302,Barnet 019C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,18
E01000302,Barnet 019C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,90
E01000302,Barnet 019C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,100
E01000302,Barnet 019C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,68
E01000302,Barnet 019C,8,Economically active and a full-time student: In employment: Employee: Part-time,22
E01000302,Barnet 019C,9,Economically active and a full-time student: In employment: Employee: Full-time,2
E01000302,Barnet 019C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000302,Barnet 019C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000302,Barnet 019C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,6
E01000302,Barnet 019C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000302,Barnet 019C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E01000302,Barnet 019C,15,Economically inactive: Retired,209
E01000302,Barnet 019C,16,Economically inactive: Student,86
E01000302,Barnet 019C,17,Economically inactive: Looking after home or family,74
E01000302,Barnet 019C,18,Economically inactive: Long-term sick or disabled,92
E01000302,Barnet 019C,19,Economically inactive: Other,93
E01000303,Barnet 020D,-8,Does not apply,319
E01000303,Barnet 020D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,118
E01000303,Barnet 020D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,420
E01000303,Barnet 020D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,9
E01000303,Barnet 020D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,24
E01000303,Barnet 020D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,54
E01000303,Barnet 020D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,75
E01000303,Barnet 020D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,35
E01000303,Barnet 020D,8,Economically active and a full-time student: In employment: Employee: Part-time,6
E01000303,Barnet 020D,9,Economically active and a full-time student: In employment: Employee: Full-time,4
E01000303,Barnet 020D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000303,Barnet 020D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000303,Barnet 020D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000303,Barnet 020D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000303,Barnet 020D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E01000303,Barnet 020D,15,Economically inactive: Retired,216
E01000303,Barnet 020D,16,Economically inactive: Student,73
E01000303,Barnet 020D,17,Economically inactive: Looking after home or family,79
E01000303,Barnet 020D,18,Economically inactive: Long-term sick or disabled,20
E01000303,Barnet 020D,19,Economically inactive: Other,44
E01000304,Barnet 020E,-8,Does not apply,270
E01000304,Barnet 020E,1,Economically active (excluding full-time students): In employment: Employee: Part-time,135
E01000304,Barnet 020E,2,Economically active (excluding full-time students): In employment: Employee: Full-time,502
E01000304,Barnet 020E,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,5
E01000304,Barnet 020E,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,22
E01000304,Barnet 020E,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,83
E01000304,Barnet 020E,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,91
E01000304,Barnet 020E,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,34
E01000304,Barnet 020E,8,Economically active and a full-time student: In employment: Employee: Part-time,14
E01000304,Barnet 020E,9,Economically active and a full-time student: In employment: Employee: Full-time,3
E01000304,Barnet 020E,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000304,Barnet 020E,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E01000304,Barnet 020E,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,4
E01000304,Barnet 020E,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,6
E01000304,Barnet 020E,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,8
E01000304,Barnet 020E,15,Economically inactive: Retired,156
E01000304,Barnet 020E,16,Economically inactive: Student,56
E01000304,Barnet 020E,17,Economically inactive: Looking after home or family,58
E01000304,Barnet 020E,18,Economically inactive: Long-term sick or disabled,67
E01000304,Barnet 020E,19,Economically inactive: Other,43
E01000305,Barnet 036B,-8,Does not apply,244
E01000305,Barnet 036B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,133
E01000305,Barnet 036B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,467
E01000305,Barnet 036B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,17
E01000305,Barnet 036B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,26
E01000305,Barnet 036B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,65
E01000305,Barnet 036B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,104
E01000305,Barnet 036B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,70
E01000305,Barnet 036B,8,Economically active and a full-time student: In employment: Employee: Part-time,20
E01000305,Barnet 036B,9,Economically active and a full-time student: In employment: Employee: Full-time,15
E01000305,Barnet 036B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01000305,Barnet 036B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000305,Barnet 036B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000305,Barnet 036B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000305,Barnet 036B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,16
E01000305,Barnet 036B,15,Economically inactive: Retired,166
E01000305,Barnet 036B,16,Economically inactive: Student,74
E01000305,Barnet 036B,17,Economically inactive: Looking after home or family,79
E01000305,Barnet 036B,18,Economically inactive: Long-term sick or disabled,51
E01000305,Barnet 036B,19,Economically inactive: Other,71
E01000306,Barnet 036C,-8,Does not apply,292
E01000306,Barnet 036C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,159
E01000306,Barnet 036C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,528
E01000306,Barnet 036C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,9
E01000306,Barnet 036C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,42
E01000306,Barnet 036C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,101
E01000306,Barnet 036C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,180
E01000306,Barnet 036C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,50
E01000306,Barnet 036C,8,Economically active and a full-time student: In employment: Employee: Part-time,30
E01000306,Barnet 036C,9,Economically active and a full-time student: In employment: Employee: Full-time,10
E01000306,Barnet 036C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000306,Barnet 036C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000306,Barnet 036C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000306,Barnet 036C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,4
E01000306,Barnet 036C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01000306,Barnet 036C,15,Economically inactive: Retired,213
E01000306,Barnet 036C,16,Economically inactive: Student,120
E01000306,Barnet 036C,17,Economically inactive: Looking after home or family,101
E01000306,Barnet 036C,18,Economically inactive: Long-term sick or disabled,24
E01000306,Barnet 036C,19,Economically inactive: Other,102
E01000307,Barnet 039D,-8,Does not apply,327
E01000307,Barnet 039D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,145
E01000307,Barnet 039D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,383
E01000307,Barnet 039D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01000307,Barnet 039D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,25
E01000307,Barnet 039D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,69
E01000307,Barnet 039D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,90
E01000307,Barnet 039D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,43
E01000307,Barnet 039D,8,Economically active and a full-time student: In employment: Employee: Part-time,15
E01000307,Barnet 039D,9,Economically active and a full-time student: In employment: Employee: Full-time,14
E01000307,Barnet 039D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000307,Barnet 039D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,3
E01000307,Barnet 039D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,4
E01000307,Barnet 039D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,5
E01000307,Barnet 039D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01000307,Barnet 039D,15,Economically inactive: Retired,197
E01000307,Barnet 039D,16,Economically inactive: Student,95
E01000307,Barnet 039D,17,Economically inactive: Looking after home or family,98
E01000307,Barnet 039D,18,Economically inactive: Long-term sick or disabled,47
E01000307,Barnet 039D,19,Economically inactive: Other,81
E01000308,Barnet 036D,-8,Does not apply,346
E01000308,Barnet 036D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,221
E01000308,Barnet 036D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,725
E01000308,Barnet 036D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,2
E01000308,Barnet 036D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,22
E01000308,Barnet 036D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,76
E01000308,Barnet 036D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,101
E01000308,Barnet 036D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,68
E01000308,Barnet 036D,8,Economically active and a full-time student: In employment: Employee: Part-time,23
E01000308,Barnet 036D,9,Economically active and a full-time student: In employment: Employee: Full-time,10
E01000308,Barnet 036D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01000308,Barnet 036D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000308,Barnet 036D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
E01000308,Barnet 036D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,6
E01000308,Barnet 036D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E01000308,Barnet 036D,15,Economically inactive: Retired,152
E01000308,Barnet 036D,16,Economically inactive: Student,90
E01000308,Barnet 036D,17,Economically inactive: Looking after home or family,96
E01000308,Barnet 036D,18,Economically inactive: Long-term sick or disabled,80
E01000308,Barnet 036D,19,Economically inactive: Other,85
E01000309,Barnet 031D,-8,Does not apply,400
E01000309,Barnet 031D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,208
E01000309,Barnet 031D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,523
E01000309,Barnet 031D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,11
E01000309,Barnet 031D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,16
E01000309,Barnet 031D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,94
E01000309,Barnet 031D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,124
E01000309,Barnet 031D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,72
E01000309,Barnet 031D,8,Economically active and a full-time student: In employment: Employee: Part-time,27
E01000309,Barnet 031D,9,Economically active and a full-time student: In employment: Employee: Full-time,17
E01000309,Barnet 031D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000309,Barnet 031D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000309,Barnet 031D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000309,Barnet 031D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E01000309,Barnet 031D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,14
E01000309,Barnet 031D,15,Economically inactive: Retired,191
E01000309,Barnet 031D,16,Economically inactive: Student,101
E01000309,Barnet 031D,17,Economically inactive: Looking after home or family,118
E01000309,Barnet 031D,18,Economically inactive: Long-term sick or disabled,69
E01000309,Barnet 031D,19,Economically inactive: Other,60
E01000310,Barnet 034C,-8,Does not apply,376
E01000310,Barnet 034C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,165
E01000310,Barnet 034C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,527
E01000310,Barnet 034C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,10
E01000310,Barnet 034C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,36
E01000310,Barnet 034C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,104
E01000310,Barnet 034C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,130
E01000310,Barnet 034C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,113
E01000310,Barnet 034C,8,Economically active and a full-time student: In employment: Employee: Part-time,34
E01000310,Barnet 034C,9,Economically active and a full-time student: In employment: Employee: Full-time,27
E01000310,Barnet 034C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000310,Barnet 034C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000310,Barnet 034C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000310,Barnet 034C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,7
E01000310,Barnet 034C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,17
E01000310,Barnet 034C,15,Economically inactive: Retired,236
E01000310,Barnet 034C,16,Economically inactive: Student,109
E01000310,Barnet 034C,17,Economically inactive: Looking after home or family,130
E01000310,Barnet 034C,18,Economically inactive: Long-term sick or disabled,77
E01000310,Barnet 034C,19,Economically inactive: Other,94
E01000311,Barnet 034D,-8,Does not apply,570
E01000311,Barnet 034D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,187
E01000311,Barnet 034D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,300
E01000311,Barnet 034D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,12
E01000311,Barnet 034D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,48
E01000311,Barnet 034D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,90
E01000311,Barnet 034D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,83
E01000311,Barnet 034D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,29
E01000311,Barnet 034D,8,Economically active and a full-time student: In employment: Employee: Part-time,19
E01000311,Barnet 034D,9,Economically active and a full-time student: In employment: Employee: Full-time,5
E01000311,Barnet 034D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000311,Barnet 034D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000311,Barnet 034D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01000311,Barnet 034D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000311,Barnet 034D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3
